1#$#Education,Mathematics,Terminals,
2#$#Dynamic Content,Front-Ends,Information Analysis,Scheduling,Software Development,
3#$#Hardware Drivers,Scientific/Engineering,Serial,
4#$#Fractals and Procedural Generation,Games/Entertainment,Raster-Based,
5#$#Enterprise,Frameworks,Information Analysis,Intelligent Agents,Internet,Mathematics,OLAP,
6#$#File Transfer Protocol (FTP),SSH (Secure SHell),Systems Administration,
7#$#Filesystems,Storage,Systems Administration,
8#$#Education,File Sharing,WWW/HTTP,
9#$#Email,Networking,Systems Administration,
10#$#Games/Entertainment,Graphics,Terminals,
11#$#Frameworks,Usability,User Interfaces,
12#$#Linux,Networking,Streaming,
13#$#Database Engines/Servers,Enterprise,File Sharing,
14#$#Data Formats,Education,Speech,Text Editors,
15#$#File Sharing,Internet,Simulation,
16#$#Authentication/Directory,Networking,Systems Administration,
17#$#Mobile,Scheduling,Time Tracking,
18#$#Education,Printing,WWW/HTTP,
19#$#Display,Non-Linear Editor,Special Effects,
20#$#Graphics,Vector-Based,Viewers,
21#$#Distributed Computing,HTTP Servers,Intelligent Agents,
22#$#Desktop Environment,Games/Entertainment,Religion and Philosophy,
23#$#Accounting,Calendar,Email,Site Management,Social sciences,
24#$#Data Formats,Mainframes,Testing,Text Editors,
25#$#Information Analysis,Medical Science Apps.,Medical/Healthcare,
26#$#Database,JSON,XML,
27#$#Monitoring,Systems Administration,Telephony,
28#$#Education,Medical Science Apps.,Physics,
29#$#File Transfer Protocol (FTP),Filesystems,Packaging,
30#$#CORBA,Debuggers,Distributed Computing,Logging,Monitoring,
31#$#MP3,Players,Sound/Audio,
32#$#Database Engines/Servers,HTTP Servers,Systems Administration,
33#$#Calendar,CRM,IMAP,
34#$#Firewalls,K Desktop Environment (KDE),Linux,Security,
35#$#Data Formats,Project Management,Scheduling,
36#$#Cryptography,File Sharing,Graphics,
37#$#File Sharing,Firewalls,Internet,Security,
38#$#HTTP Servers,Mail Transport Agents,POP3,
39#$#Chemistry,Physics,Simulations,
40#$#BBS,Internet,Telnet,
41#$#Application Servers,Distributed Computing,Embedded systems,Frameworks,
42#$#Archiving,Cryptography,Logging,Systems Administration,
43#$#Communications,Dynamic Content,Ecosystem Sciences,
44#$#Image Galleries,Presentation,Viewers,
45#$#Frameworks,Integrated Development Environments (IDE),User Interfaces,
46#$#Real Time Strategy,Simulation,Turn Based Strategy,
47#$#Bio-Informatics,Molecular Science,Visualization,
48#$#ERP,Sales,Service Support,
49#$#File Sharing,Search,Service Automation,
50#$#File Transfer Protocol (FTP),Indexing/Search,Monitoring,
51#$#Build Tools,Code Generators,Interpreters,
52#$#Front-Ends,Games/Entertainment,Viewers,WWW/HTTP,
53#$#Code Generators,Compilers,Design,
54#$#Dynamic Content,Education,Text Processing,
55#$#Database,Dynamic Content,Sound/Audio,
56#$#Database,Office/Business,Other/Nonlisted Topic,
57#$#E-Commerce / Shopping,Personal finance,To-Do Lists,
58#$#Conversion,Dynamic Content,Realtime Processing,
59#$#Cryptography,Firewalls,Internet,
60#$#3D Modeling,3D Rendering,Animation,
61#$#Desktop Environment,Filesystems,Printing,
62#$#Computer Aided Instruction (CAI),Languages,Machine Translation,
63#$#Communications,Database,Dynamic Content,Site Management,
64#$#Desktop Environment,Frameworks,Libraries,
65#$#Code Generators,Games/Entertainment,Integrated Development Environments (IDE),
66#$#Frameworks,Games/Entertainment,Graphics,Video,Visualization,
67#$#Capture,Front-Ends,Office/Business,
68#$#Communications,Education,Indexing/Search,
69#$#Front-Ends,Site Management,Systems Administration,
70#$#Live CD,Monitoring,Systems Administration,
71#$#Board Games,Multiplayer,Puzzle Games,
72#$#Mathematics,Physics,WWW/HTTP,
73#$#3D Modeling,Viewers,Visualization,
74#$#Database,Other/Nonlisted Topic,To-Do Lists,
75#$#Calendar,Communications,Mobile,
76#$#Board Games,Multiplayer,Telephony,
77#$#Computer Aided Instruction (CAI),Documentation,Office Suites,Text Processing,Word Processors,
78#$#Administration,Information Analysis,Testing,
79#$#Build Tools,Compilers,Integrated Development Environments (IDE),
80#$#IMAP,Networking,Scheduling,Systems Administration,
81#$#Build Tools,Code Generators,Front-Ends,
82#$#Office/Business,Search,Storage,Systems Administration,
83#$#Product lifecycle management (PLM),Project Management,Simulations,
84#$#Dynamic Content,Site Management,Templates,
85#$#Games/Entertainment,Players,Software Development,
86#$#Communications,Internet,Networking,Security,
87#$#3D Rendering,Database,Frameworks,Simulation,Software Development,
88#$#Board Games,Card Games,Role-Playing,
89#$#Database,Genealogy,History,
90#$#Games/Entertainment,Graphics,Sound/Audio,
91#$#Dynamic Content,Presentation,Viewers,
92#$#Anti-Spam,Anti-Virus,Security,
93#$#Distributed Computing,File Sharing,Networking,Object Brokering,
94#$#Communications,Desktop Environment,Office/Business,RSS,Software Development,WWW/HTTP,
95#$#CMS Systems,Database,Project Management,
96#$#BitTorrent,Sound/Audio,WWW/HTTP,XML,
97#$#CMS Systems,Site Management,Text Processing,
98#$#Assemblers,Cross Compilers,Embedded systems,
99#$#Plugins and add-ons,Sound Synthesis,Speech,
100#$#Computer Aided Instruction (CAI),Physics,Simulations,
101#$#Comma-separated values (CSV),Information Analysis,Libraries,
102#$#Site Management,Software Development,Templates,
103#$#GPS (Global Positioning System),Mobile,Telephony,
104#$#Anti-Malware,Anti-Virus,Security,
105#$#Application Servers,Frameworks,User Interfaces,
106#$#Backup,Storage,System,
107#$#Benchmark,Cryptography,Systems Administration,
108#$#Archiving,Text Processing,XML,
109#$#Hardware Drivers,Linux,Networking,
110#$#Database Engines/Servers,Design,Modeling,
111#$#Multiplayer,Real Time Strategy,Side-Scrolling/Arcade Games,
112#$#Communications,Database,WWW/HTTP,
113#$#HTML/XHTML,Interpreters,WWW/HTTP,XML,
114#$#CGI Tools/Libraries,Code Generators,HTML/XHTML,HTTP Servers,
115#$#Data Formats,Software Development,Streaming,
116#$#Database,Message Boards,Site Management,
117#$#Build Tools,Compilers,Cross Compilers,Digital Camera,
118#$#Archiving,Database,Multimedia,
119#$#File Management,Filesystems,Linux,
120#$#Firewalls,Log Analysis,Monitoring,Security,
121#$#Agile development tools,Debuggers,Performance Testing,
122#$#Enterprise,Systems Administration,Usability,
123#$#Networking,Sound/Audio,Streaming,
124#$#Filesystems,Installation/Setup,Networking,
125#$#Libraries,Modeling,Simulations,
126#$#Chemistry,Earth Sciences,Medical Science Apps.,
127#$#Mail Transport Agents,Mailing List Servers,Post-Office,
128#$#Hardware,Scanners,Software Development,
129#$#Firewalls,Monitoring,Wireless,
130#$#Bio-Informatics,Chemistry,Molecular Science,
131#$#Dynamic Content,Enterprise,Front-Ends,Other/Nonlisted Topic,
132#$#3D Rendering,Browsers,Viewers,
133#$#Interpreters,Networking,Operating System Kernels,
134#$#Code Generators,Frameworks,User Interfaces,
135#$#Design,Frameworks,Usability,
136#$#Debuggers,Profiling,Testing,
137#$#Internet,Internet Relay Chat,Role-Playing,
138#$#Compression,Packaging,Software Development,
139#$#Linux,Realtime Processing,Video Capture,
140#$#Build Tools,Database,Modeling,Object Oriented,
141#$#Capture/Recording,Conversion,Conversion,
142#$#Communications,Education,Internet,
143#$#Build Tools,Code Generators,Interpreters,
144#$#File Sharing,Internet,Other/Nonlisted Topic,Security,
145#$#Accounting,Mathematics,Software Development,
146#$#Calendar,MP3,Mobile,Time Tracking,To-Do Lists,
147#$#Office/Business,Software Development,Systems Administration,
148#$#Real Time Strategy,Role-Playing,Simulation,
149#$#Display,Video,Video Capture,
150#$#Dynamic Content,Software Development,Text Processing,
151#$#Database Engines/Servers,Internet,Software Development,
152#$#Frameworks,Object Oriented,Testing,
153#$#Clustering,Distributed Computing,Monitoring,Software Distribution,System Shells,
154#$#BBS,CGI Tools/Libraries,Chat,Message Boards,To-Do Lists,User Interfaces,
155#$#First Person Shooters,Multiplayer,Real Time Tactical,
156#$#Role-Playing,Side-Scrolling/Arcade Games,Simulation,
157#$#Backup,Office/Business,Systems Administration,
158#$#Monitoring,Systems Administration,WWW/HTTP,
159#$#First Person Shooters,Real Time Strategy,Role-Playing,
160#$#CD Audio,Database,Dynamic Content,Other/Nonlisted Topic,Packaging,
161#$#Quality Assurance,Source code analysis,Subversion,
