7#$#FIDO,NIS,Configuration Management Database (CMDB),
12#$#Computer Aided Translation (CAT),Unattended,Configuration Management Database (CMDB),
15#$#Computer Aided Translation (CAT),Enlightenment,Humanitarianism,
18#$#FIDO,Gnutella,Configuration Management Database (CMDB),
21#$#FIDO,Mainframes,Configuration Management Database (CMDB),
24#$#Mainframes,Binary editors,Digital preservation,
43#$#FIDO,Enlightenment,Insurance,
46#$#FIDO,Social Bookmarking,Video Conferencing,
47#$#NNTP,FIDO,Medical Physics,
56#$#Enlightenment,SCCS,Humanitarianism,
62#$#Configuration Management Database (CMDB),Machine Translation,Medical Physics,
74#$#Enlightenment,Computer Aided Translation (CAT),Voting,
75#$#Digital preservation,Mainframes,FIDO,
76#$#Computer Aided Translation (CAT),Medical Physics,Unix Talk,
82#$#Enlightenment,Humanitarianism,Direct Connect,
88#$#SCCS,NIS,Binary editors,
92#$#Humanitarianism,NIS,NNTP,
100#$#Quantum Computing,History,Molecular Mechanics,
105#$#FIDO,Configuration Management Database (CMDB),Medical Physics,
109#$#FIDO,NIS,NNTP,
120#$#Enlightenment,NIS,NNTP,
121#$#SCCS,Assemblers,Subversion,
126#$#Enlightenment,FIDO,SCCS,
128#$#SCCS,NIS,RCS,
129#$#Humanitarianism,FIDO,Insurance,
136#$#SCCS,Configuration Management Database (CMDB),Insurance,
141#$#Mainframes,Digital preservation,FIDO,
144#$#Configuration Management Database (CMDB),Business Service Management,Psychology,
147#$#FIDO,OPAC,Humanitarianism,
149#$#Enlightenment,Insurance,Video Conferencing,
152#$#SCCS,Configuration Management Database (CMDB),Mainframes,
154#$#Computer Aided Translation (CAT),FIDO,Humanitarianism,
155#$#Enlightenment,NIS,NNTP,
156#$#SCCS,NIS,Computer Aided Translation (CAT),
159#$#Mainframes,Digital preservation,Binary editors,
162#$#NIS,Voting,Molecular Mechanics,
163#$#Mainframes,Collection management,Digital preservation,
166#$#Mainframes,SCCS,Humanitarianism,
172#$#NNTP,Mainframes,SCCS,
174#$#Enlightenment,NNTP,NIS,
175#$#Mainframes,Medical Physics,Configuration Management Database (CMDB),
176#$#NNTP,NIS,Computer Aided Translation (CAT),
181#$#Enlightenment,FIDO,Configuration Management Database (CMDB),
184#$#FIDO,Humanitarianism,Enlightenment,
193#$#SCCS,Computer Aided Translation (CAT),Binary editors,
195#$#SCCS,Binary editors,NIS,
197#$#Enlightenment,NIS,Assemblers,
198#$#FIDO,Digital preservation,Voting,
201#$#Mainframes,NIS,Napster,
203#$#Humanitarianism,Insurance,New Age,
204#$#Enlightenment,Mainframes,Assemblers,
210#$#Enlightenment,UML,Mainframes,
212#$#Fonts,SCCS,Insurance,
213#$#FIDO,Humanitarianism,CORBA,
217#$#Insurance,Medical Physics,DocBook,
226#$#SCCS,NIS,Binary editors,
230#$#Humanitarianism,Enlightenment,SCCS,
231#$#SCCS,Mainframes,Configuration Management Database (CMDB),
233#$#FIDO,Insurance,Social Bookmarking,
234#$#FIDO,SCCS,Enlightenment,
237#$#Enlightenment,Flight simulator,Mainframes,
240#$#Computer Aided Translation (CAT),FIDO,Medical Physics,
242#$#SCCS,RCS,Mainframes,
246#$#Enlightenment,NNTP,Computer Aided Translation (CAT),
247#$#Enlightenment,Vi/Vim,Configuration Management Database (CMDB),
248#$#Medical Physics,Video Conferencing,Assemblers,
251#$#Enlightenment,FIDO,SCCS,
257#$#Computer Aided Translation (CAT),Quantum Computing,Napster,
260#$#FIDO,Enlightenment,Computer Aided Translation (CAT),
261#$#NNTP,Enlightenment,Medical Physics,
271#$#Digital preservation,Computer Aided Translation (CAT),FIDO,
281#$#Enlightenment,Genealogy,OPAC,
282#$#FIDO,Enlightenment,SCCS,
285#$#SCCS,NIS,Binary editors,
289#$#FIDO,Computer Aided Translation (CAT),Social Bookmarking,
307#$#SCCS,Humanitarianism,NIS,
310#$#SCCS,Enlightenment,Configuration Management Database (CMDB),
319#$#FIDO,Enlightenment,Direct Connect,
327#$#NNTP,NIS,Computer Aided Translation (CAT),
330#$#SCCS,FIDO,Computer Aided Translation (CAT),
332#$#FIDO,Enlightenment,SCCS,
341#$#SCCS,Mainframes,FIDO,
342#$#Binary editors,Mainframes,Digital preservation,
344#$#Enlightenment,SCCS,Binary editors,
352#$#NNTP,Medical Physics,FIDO,
353#$#Enlightenment,Insurance,FIDO,
